"","x"
"BLMH",5.27017686718779
"TNXB",9.89641480377194
"CAPZA1",3.41969405271871
"RPLP0",35.1915007170189
"IGLV3-10",5.11745176148949
"ENTPD5",14.835957074589
"ORM1",25.2258631028834
"PTPRG",11.6219877634057
"TPM2",9.13142822103792
"KRT8",4.64200610803596
"GARS1",4.96389528022464
"INPP5D",8.816976042088
"GP5",5.50401370090356
"S100A12",11.537096100302
"HMCN1",12.1454534916401
"HSP90B1",4.47219473105853
"PLXDC2",8.17527503982138
"UBA1",4.92424145570857
"PI16",10.9671534746213
"BASP1",3.94969714142287
"F11",6.67535886749678
"HSPH1",12.1746031746032
"NAGLU",6.91951311350323
"HSPA8",9.76370542002711
