"","Sensitivity","Se 95% CI, Lower limit","Se 95% CI, Upper limit","Specificity","Spec 95% CI, Lower limit","Spec 95% CI, Upper limit","Std Dev Study","Corr study","N_study","Mean posLR","Median posLR","posLR 95% CI, Lower limit","posLR 95% CI, Upper limit","Mean negLR","Median negLR","negLR 95% CI, Lower limit","negLR 95% CI, Upper limit","Mean DOR","Median DOR","DOR 95% CI, Lower limit","DOR 95% CI, Upper limit","AUC","abs_diff","protein","cat","Wald_Pval","adj.Pval"
"301",0.753050328217089,0.650729051487812,0.833084813386283,0.532432741067567,0.387609292152465,0.671990004694362,0.550547518926932,-1,6,1.65,1.61,1.12,2.43,0.485,0.465,0.27,0.817,3.88,3.47,1.38,8.73,72,0.220617587149522,"TTN","Not significant",1.17092210325532e-06,3.38382548291938e-06
"302",0.626976248945728,0.409091857282348,0.803174427095008,0.957936351872917,0.176214382791222,0.999587723458024,3.46907572120368,-0.999999097934323,3,284,14.8,0.572,1790,0.783,0.403,0.198,2.92,1370,38.5,0.193,7620,73,0.330960102927189,"GBE1","Not significant",0.0113393801881161,0.0139021946498242
"303",0.516077427755245,0.270267361269734,0.754346591777212,0.877935805596799,0.587353013977932,0.973221678352792,0.517097238008872,-1,3,5.99,4.14,0.938,22.3,0.585,0.563,0.271,1.04,13.9,7.69,0.903,65.4,82,0.361858377841554,"RAB1B","Not significant",0.0445443687604272,0.0489836716493486
"304",0.618181818177629,0.484470530161122,0.736103555521688,0.558823529411755,0.391604090435589,0.713685603204193,2.80518550012029e-12,NA,3,1.44,1.4,0.936,2.23,0.705,0.686,0.438,1.09,2.26,2.05,0.861,4.89,NA,0.0593582887658733,"CTSC","Not significant",0.175312201599357,0.179187690013891
"305",0.816250006540088,0.614385206279055,0.925290881143287,0.775709025598598,0.565616331775905,0.901825872717087,0.954361282613587,0.857564153509087,6,3.85,3.58,2.02,7.19,0.252,0.241,0.113,0.455,16.8,15.4,6.63,35.7,86,0.0405409809414899,"UGP2","80-89%",0.012051052833123,0.014700467714777
"306",0.688107946122566,0.496692505273135,0.83143158518684,0.690267953009367,0.513887037461681,0.824506375766799,1.1218103759199,-0.977086285127307,11,2.38,2.22,1.06,4.61,0.485,0.453,0.21,0.944,6.52,4.92,1.13,21.4,74,0.00216000688680107,"ICAM1","Not significant",8.71477796503509e-10,4.75396033935341e-09
"307",0.523809523809497,0.375138494969556,0.668377334926409,0.782608695639227,0.572027368507695,0.906509365990462,1.28962614179602e-11,NA,3,2.66,2.39,1.13,5.79,0.627,0.615,0.412,0.916,4.72,3.96,1.24,12.6,NA,0.25879917182973,"PGM2","Not significant",0.0384707500093802,0.0425941827355851
"308",0.770782209453536,0.650059414918996,0.858897876995123,0.668051888725119,0.553838622247831,0.765411689406818,0.757561003596188,-0.120981226594258,15,2.36,2.31,1.63,3.37,0.354,0.345,0.205,0.553,7.35,6.77,3.05,15,77,0.102730320728417,"CA1","70-79%",1.95023621738074e-06,5.42601537844326e-06
"309",0.885614683652185,0.711026680073464,0.960571628236694,0.796142185586491,0.580287229791563,0.916885045140439,0.333301594987836,1,4,4.76,4.27,2.1,10.3,0.163,0.147,0.0518,0.367,38.8,30.3,7.55,121,88,0.0894724980656945,"THBS3","80-89%",0.000355978274563369,0.000607477863973693
"310",0.712014070640658,0.56181442863695,0.826617653004818,0.885919869301862,0.680264701239515,0.965923027274044,1.55173092129423,1,8,7.2,6.2,2.49,17.8,0.334,0.33,0.227,0.464,21.4,19.2,7.76,47.6,84,0.173905798661203,"ADAMTS13","80-89%",0.00700610954465884,0.00883497710112173
"311",0.694318150430505,0.587600435551465,0.783590882828771,0.727495650993086,0.622212836688385,0.812289459599798,0.814458117497736,-0.364192708898338,17,2.61,2.54,1.7,3.88,0.428,0.422,0.284,0.61,6.53,6.06,2.85,12.9,77,0.0331775005625813,"CFHR1","70-79%",6.26050219908768e-09,2.72598548668795e-08
"312",0.523889547573643,0.295416329856448,0.742782922408375,0.888324106077709,0.569509063622563,0.97952018644645,1.61102445116646,-0.895532471420882,4,7.74,4.64,0.772,33.6,0.584,0.542,0.268,1.16,20.7,8.73,0.662,115,74,0.364434558504066,"CNN2","Not significant",0.0024210779513776,0.0034369396064147
"313",0.731896299669113,0.145920697575292,0.977587976735027,0.799996367195917,0.604080372413234,0.912937986070865,0.314160448142125,-1,3,3.9,3.46,0.524,9.98,0.427,0.34,0.0268,1.21,42.4,10.9,0.429,276,82,0.0681000675268043,"EXT2","Not significant",0.00363050825431092,0.0049311550512153
"314",0.475800892042682,0.335512279164919,0.620015404721186,0.826687416008443,0.540307908116594,0.950877936396605,0.854491770060033,-1,3,3.49,2.73,0.896,10.6,0.669,0.642,0.43,1.08,6.18,4.32,0.826,22.6,55,0.350886523965761,"PLOD1","Not significant",0.0889130595824066,0.0931333126801692
"315",0.652913635806033,0.330750147610991,0.877453849628345,0.786876965845008,0.548921560494755,0.918046065276349,1.11273850183866,-0.900130276747891,6,3.64,3.03,0.833,10.1,0.493,0.445,0.139,1.12,13.3,6.95,0.741,65.5,80,0.133963330038975,"PSMB3","Not significant",0.000257764764262239,0.00045424607277429
